logged_at,strat,symbol,side,entry,exit,size,fee_bps,date_in,date_out,note
2026-05-30,orb,SPY,long,685.1,681.87,154.74,1.0,2026-03-05,2026-03-05,auto:SL
2026-05-30,orb,SPY,short,662.7,667.63,101.42,1.0,2026-03-09,2026-03-09,auto:SL
2026-05-30,orb,SPY,short,675.49,678.78,151.75,1.0,2026-03-10,2026-03-10,auto:SL
2026-05-30,orb,SPY,long,678.5,676.13,210.97,1.0,2026-03-11,2026-03-11,auto:SL
2026-05-30,orb,SPY,short,668.18,666.04,144.22,1.0,2026-03-12,2026-03-12,auto:EOD-flat
2026-05-30,orb,SPY,long,670.9,667.7,156.25,1.0,2026-03-16,2026-03-16,auto:SL
2026-05-30,orb,SPY,short,667.88,665.12,271.74,1.0,2026-03-18,2026-03-18,auto:TP
2026-05-30,orb,SPY,short,653.0,647.46,135.5,1.0,2026-03-20,2026-03-20,auto:TP
2026-05-30,orb,SPY,long,660.25,656.07,119.62,1.0,2026-03-23,2026-03-23,auto:SL
2026-05-30,orb,SPY,short,650.73,644.88,128.2,1.0,2026-03-26,2026-03-26,auto:TP
2026-05-30,orb,SPY,short,638.59,634.08,122.97,1.0,2026-03-27,2026-03-27,auto:EOD-flat
2026-05-30,orb,SPY,long,642.71,638.31,113.64,1.0,2026-03-31,2026-03-31,auto:SL
2026-05-30,orb,SPY,long,656.05,655.18,163.94,1.0,2026-04-01,2026-04-01,auto:EOD-flat
2026-05-30,orb,SPY,short,655.52,658.55,165.02,1.0,2026-04-06,2026-04-06,auto:SL
2026-05-30,orb,SPY,short,654.01,657.58,140.06,1.0,2026-04-07,2026-04-07,auto:SL
2026-05-30,orb,SPY,short,674.43,675.79,367.67,1.0,2026-04-09,2026-04-09,auto:SL
2026-05-30,orb,SPY,long,681.93,680.17,284.09,1.0,2026-04-10,2026-04-10,auto:SL
2026-05-30,orb,SPY,long,689.97,693.42,216.91,1.0,2026-04-14,2026-04-14,auto:TP
2026-05-30,orb,SPY,long,696.35,699.57,232.56,1.0,2026-04-15,2026-04-15,auto:TP
2026-05-30,orb,SPY,long,701.3,701.55,180.51,1.0,2026-04-16,2026-04-16,auto:EOD-flat
2026-05-30,orb,SPY,long,708.36,712.26,192.31,1.0,2026-04-17,2026-04-17,auto:TP
2026-05-30,orb,SPY,short,708.23,708.69,297.62,1.0,2026-04-20,2026-04-20,auto:EOD-flat
2026-05-30,orb,SPY,long,710.86,708.75,236.41,1.0,2026-04-21,2026-04-21,auto:SL
2026-05-30,orb,SPY,long,709.49,711.4,393.69,1.0,2026-04-22,2026-04-22,auto:TP
2026-05-30,orb,SPY,short,709.22,711.28,242.13,1.0,2026-04-23,2026-04-23,auto:SL
2026-05-30,orb,SPY,long,711.16,714.38,232.56,1.0,2026-04-24,2026-04-24,auto:TP
